TeamNum,TeamName,TeamCountry,TeamCity
1,The Juggernauts,USA,Pontiac
4,Team 4 ELEMENT,USA,Van Nuys
5,Robocards,USA,Melvindale
6,The CogSquad,USA,Plymouth
7,Team007,USA,Baltimore
8,Paly Robotics,USA,Palo Alto
9,Roosevelt RoboRiders,USA,Chicago
10,Red Knights,USA,St. Louis Park
11,MORT,USA,Flanders
13,Triskadekamanics,,
14,The Rulers,,
15,Mustechs,,
16,Bomb Squad,USA,Mountain Home
17,The Brick Bombers,,
18,Team 18,,
19,Big Red,USA,Greenwich
20,The Rocketeers,USA,Clifton Park
21,ComBBAT,USA,Titusville
22,Double Deuce,USA,Chatsworth
23,PNTA Pilgrim Nuclear Technology Alliance,USA,Plymouth
24,Crusaders 2020,,
25,Raider Robotix,USA,North Brunswick
27,Team RUSH,USA,Clarkston
28,Pierson Whalers,USA,Sag Harbor
29,Caught in a Brainstorm,,
30,FURY,USA,Lincroft
31,Jenks Prime Movers,USA,Jenks
33,Killer Bees,USA,Bloomfield Hills
34,Rockets,USA,Athens
35,Sigma Squared,USA,Whitehall
37,Junior Plaids,USA,Coral Gables
38,Nonnebots,USA,Woodbury
39,The 39th Aero Squadron,USA,Gilbert
40,Checkmate,USA,Manchester
41,RoboWarriors,USA,Warren
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),USA,Hudson
45,TechnoKats Robotics Team,USA,Kokomo
46,Category5,,
47,Chief Delphi,USA,Pontiac
48,Team E.L.I.T.E.,USA,Warren
49,Robotic Knights,USA,Saginaw
51,Wings of Fire,USA,Pontiac
52,Robotworks Y,,
53,Area 53,USA,Greenbelt
55,Team 55,,
56,R.O.B.B.E.,USA,Bound Brook
57,Leopards,USA,Houston
58,The Riot Crew,USA,South Portland
59,RamTech,USA,Miami
60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),USA,Kingman
61,BVT Robotics,USA,Upton
62,Team 62,,
63,McDowell Robotics Team 63,USA,Erie
64,Gila Monsters,USA,Mesa
65,The Huskie Brigade,USA,Pontiac
66,Grizzly Robotics,USA,Ypsilanti
67,The HOT Team,USA,Highland
68,Truck Town Thunder,USA,Ortonville
69,HYPER,USA,Quincy
70,More Martians,USA,Goodrich
71,Team Hammond,USA,Hammond
73,The Illumination,USA,Rochester
74,Team CHAOS,USA,Holland
75,RoboRaiders,USA,Hillsborough
77,Team 77,,
78,AIR STRIKE,USA,Newport
79,Team 79 Krunch,USA,Oldsmar
80,Robocolt,USA,Phoenix
81,MetalHeads,USA,Freeport
84,Chuck 84,USA,Towanda
85,B.O.B. (Built on Brains),USA,Zeeland
86,Team Resistance,USA,Jacksonville
87,Diablo,USA,Mount Holly
88,TJ²,USA,Bridgewater
89,Team 89,,PA
90,Team 90,,
92,RoboPats,USA,Lincolnshire
93,NEW Apple Corps,USA,Appleton
94,The  TechnoJays,USA,Southfield
95,Grasshoppers,USA,White River Junction
96,JESTER,USA,Springfield
97,Bionic Beef,USA,Cambridge
98,Team 98,,
100,The Wildhats,USA,Woodside
101,Striker,USA,Chicago
102,The Gearheads,USA,Somerville
103,Cybersonics,USA,Kintnersville
104,Team Universal,USA,West Chester
105,Team 105,USA,CHARLTON
106,Team 106,USA,phila
107,Team R.O.B.O.T.I.C.S.,USA,Holland
108,SigmaC@T Robotics Team,USA,Fort Lauderdale
109,Team 109,USA,Libertyville
111,WildStang,USA,Arlington Heights
112,Plus One,USA,Arlington Heights
114,Eaglestrike,USA,Los Altos
115,MVRT,USA,Cupertino
116,Epsilon Delta,USA,Herndon
117,Steel Dragons,USA,Pittsburgh
118,Robonauts,USA,Houston
120,Youth Tech Academy Red Dragons,USA,Cleveland
121,Rhode Warriors,USA,Middletown
122,NASA Knights,USA,Hampton
123,Team - Cosmos,USA,Hamtramck
124,Team 124,USA,Waterford
125,NUTRONs,USA,Revere
126,Gael Force,USA,Clinton
127,Bluetonium,USA,Friendswood
128,The Botcats,USA,Columbus
130,Brain Busters,,
131,CHAOS,USA,Manchester
132,Radioactive Mustangs,USA,Wilton Manors
133,B.E.R.T.,USA,Standish
134,Team Discovery,USA,Pembroke
135,Penn Robotics Black Knights,USA,Mishawaka
136,Killer Kardinals,USA,Plainfield
138,Entropy,USA,Amherst
140,Tigers,USA,Tyngsboro
141,WOBOT,USA,Holland
144,Operation Orange,USA,Hamilton
145,T-Rx,USA,Norwich
146,Team 146,,
147,Deep Thunder,USA,St. Petersburg
148,Robowranglers,USA,Greenville
151,Tough Techs,USA,Nashua
153,Team 153,USA,Bridgewater
155,The TechnoNuts,USA,Berlin
156,RPM  - Robotics Plus Mayhem,USA,Fairview
157,AZTECHS,USA,Marlborough
158,The Cobras,USA,Milford
