iter	Passed	Remaining
0	28	14206
1	50	12602
2	73	12130
3	94	11704
4	116	11492
5	139	11462
6	161	11370
7	182	11247
8	205	11232
9	228	11191
10	251	11165
11	273	11111
12	294	11017
13	315	10969
14	337	10908
15	358	10859
16	381	10847
17	404	10820
18	426	10794
19	448	10755
20	469	10714
21	491	10679
22	513	10656
23	534	10604
24	556	10571
25	578	10543
26	599	10508
27	622	10488
28	643	10456
29	665	10429
30	687	10399
31	709	10372
32	731	10348
33	754	10340
34	776	10311
35	799	10305
36	821	10281
37	843	10257
38	866	10241
39	888	10222
40	910	10189
41	932	10173
42	955	10152
43	978	10141
44	1000	10119
45	1022	10093
46	1043	10062
47	1066	10044
48	1088	10014
49	1109	9984
50	1131	9959
51	1153	9935
52	1174	9906
53	1198	9899
54	1220	9875
55	1241	9844
56	1263	9816
57	1284	9788
58	1306	9767
59	1329	9747
60	1352	9733
61	1375	9718
62	1397	9693
63	1419	9669
64	1440	9637
65	1461	9612
66	1483	9586
67	1504	9560
68	1526	9536
69	1549	9520
70	1571	9493
71	1592	9468
72	1615	9448
73	1636	9422
74	1659	9403
75	1681	9381
76	1703	9360
77	1725	9335
78	1747	9310
79	1767	9280
80	1789	9259
81	1811	9234
82	1834	9214
83	1855	9191
84	1877	9165
85	1898	9141
86	1920	9118
87	1944	9103
88	1967	9087
89	1991	9073
90	2014	9054
91	2037	9035
92	2059	9013
93	2083	8998
94	2105	8974
95	2127	8953
96	2149	8929
97	2171	8908
98	2193	8885
99	2215	8863
100	2236	8836
101	2258	8811
102	2281	8791
103	2301	8764
104	2323	8741
105	2346	8720
106	2368	8697
107	2390	8675
108	2413	8657
109	2435	8636
110	2457	8613
111	2479	8588
112	2501	8565
113	2524	8546
114	2546	8525
115	2568	8503
116	2590	8479
117	2612	8456
118	2633	8431
119	2655	8410
120	2678	8388
121	2700	8365
122	2722	8344
123	2745	8324
124	2766	8300
125	2788	8276
126	2810	8255
127	2833	8233
128	2854	8210
129	2876	8187
130	2898	8164
131	2920	8142
132	2943	8121
133	2965	8099
134	2987	8077
135	3009	8055
136	3031	8031
137	3052	8006
138	3074	7985
139	3095	7960
140	3117	7937
141	3139	7915
142	3161	7892
143	3183	7871
144	3205	7848
145	3227	7826
146	3249	7804
147	3271	7780
148	3293	7757
149	3314	7733
150	3336	7711
151	3358	7689
152	3380	7666
153	3403	7646
154	3425	7623
155	3446	7600
156	3468	7577
157	3489	7553
158	3511	7530
159	3532	7507
160	3553	7483
161	3575	7460
162	3597	7437
163	3619	7414
164	3641	7392
165	3662	7368
166	3683	7345
167	3705	7323
168	3727	7299
169	3748	7277
170	3769	7252
171	3791	7230
172	3813	7207
173	3834	7184
174	3856	7161
175	3877	7138
176	3899	7116
177	3921	7093
178	3942	7069
179	3964	7048
180	3987	7027
181	4009	7004
182	4030	6982
183	4052	6959
184	4074	6936
185	4096	6914
186	4117	6891
187	4143	6877
188	4171	6864
189	4195	6844
190	4216	6821
191	4238	6799
192	4261	6779
193	4283	6757
194	4304	6732
195	4326	6711
196	4348	6688
197	4371	6667
198	4393	6645
199	4416	6624
200	4439	6604
201	4462	6583
202	4484	6560
203	4506	6539
204	4528	6516
205	4550	6494
206	4571	6471
207	4594	6449
208	4616	6427
209	4637	6404
210	4659	6382
211	4682	6360
212	4703	6337
213	4725	6315
214	4747	6293
215	4769	6270
216	4790	6248
217	4812	6225
218	4835	6204
219	4857	6182
220	4878	6159
221	4901	6137
222	4922	6114
223	4943	6090
224	4964	6068
225	4987	6046
226	5010	6025
227	5031	6003
228	5054	5981
229	5076	5958
230	5098	5937
231	5122	5917
232	5144	5894
233	5165	5872
234	5187	5850
235	5208	5826
236	5230	5803
237	5251	5780
238	5273	5759
239	5295	5736
240	5317	5714
241	5338	5691
242	5360	5669
243	5382	5647
244	5404	5624
245	5426	5602
246	5449	5581
247	5470	5559
248	5493	5537
249	5514	5514
250	5537	5493
251	5559	5471
252	5581	5448
253	5603	5426
254	5625	5405
255	5648	5383
256	5670	5361
257	5692	5339
258	5714	5316
259	5735	5294
260	5757	5271
261	5778	5249
262	5800	5227
263	5822	5204
264	5843	5182
265	5866	5160
266	5888	5138
267	5909	5115
268	5930	5092
269	5951	5069
270	5973	5047
271	5995	5025
272	6016	5002
273	6037	4979
274	6058	4957
275	6080	4934
276	6102	4913
277	6125	4891
278	6147	4869
279	6168	4846
280	6191	4825
281	6212	4802
282	6235	4781
283	6259	4760
284	6282	4739
285	6306	4718
286	6329	4697
287	6352	4675
288	6373	4653
289	6394	4630
290	6416	4608
291	6439	4586
292	6463	4566
293	6488	4546
294	6513	4526
295	6536	4504
296	6558	4482
297	6580	4460
298	6603	4438
299	6625	4417
300	6649	4395
301	6672	4374
302	6695	4353
303	6719	4332
304	6740	4309
305	6762	4287
306	6784	4265
307	6806	4242
308	6827	4220
309	6848	4197
310	6870	4175
311	6892	4153
312	6914	4131
313	6935	4108
314	6956	4085
315	6978	4063
316	7002	4042
317	7025	4020
318	7047	3998
319	7068	3976
320	7090	3953
321	7111	3931
322	7133	3908
323	7155	3887
324	7177	3864
325	7199	3842
326	7221	3820
327	7242	3797
328	7264	3775
329	7286	3753
330	7308	3731
331	7329	3708
332	7351	3686
333	7371	3663
334	7394	3642
335	7417	3620
